n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
64,32,127,0.01,0.05,1,1.5,3,random,1,138112431,2026-08-05T16:46:03.406588+00:00,1,1000,10000,0.008733034133911133,0.13781189918518066,0.2665121555328369,4.87671685218811,5.2962870597839355,35,16,64,25,38,True,1000,0,0,0,16.553,21,0.0,,False,
64,32,127,0.01,0.05,1,1.5,3,random,2,286442916,2026-08-05T16:46:08.708794+00:00,1,1000,10000,0.003995180130004883,0.08495211601257324,0.16059613227844238,4.708323240280151,4.964654207229614,51,7,64,25,38,True,1000,0,0,0,7.589,11,0.0,,False,
64,32,127,0.01,0.05,1,1.5,3,linear_combination,0,547206248,2026-08-05T16:46:13.678826+00:00,1,1000,10000,0.004496097564697266,0.0881032943725586,0.16448569297790527,151.5614640712738,151.82534193992615,49,13,64,25,38,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.5,3,linear_combination,1,684266983,2026-08-05T16:48:45.515696+00:00,1,1000,10000,0.004766941070556641,0.08409905433654785,0.15491032600402832,151.18532991409302,151.43576407432556,43,14,64,25,38,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.5,3,linear_combination,2,1113258606,2026-08-05T16:51:16.958605+00:00,1,1000,10000,0.004005908966064453,0.08027791976928711,0.15036582946777344,148.87019801139832,149.11124205589294,57,5,64,25,38,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,1,1.5,3,local_search,0,736923986,2026-08-05T16:53:46.081151+00:00,1,1000,10000,0.004415988922119141,0.08507299423217773,0.15356707572937012,112.54517793655396,112.7948100566864,50,10,64,25,38,True,1000,674,0,0,9.674846625766872,12,0.0,,False,
64,32,127,0.01,0.05,1,1.5,3,local_search,1,1042828423,2026-08-05T16:55:38.883750+00:00,1,1000,10000,0.004372835159301758,0.08425402641296387,0.15681791305541992,114.37400984764099,114.62556290626526,46,13,64,25,38,True,1000,661,0,0,9.99410029498525,13,0.0,,False,
64,32,127,0.01,0.05,1,1.5,3,local_search,2,809417338,2026-08-05T16:57:33.516273+00:00,1,1000,10000,0.0040781497955322266,0.08357381820678711,0.15704774856567383,116.66439700126648,116.91547703742981,48,16,64,25,38,True,1000,658,0,0,10.201754385964913,13,0.0,,False,
64,32,127,0.01,0.05,2,1.1,3,random,0,206274374,2026-08-05T16:59:30.438346+00:00,1,1000,10000,0.004133939743041992,0.08285689353942871,0.1529090404510498,324.2957212924957,324.5419659614563,49,10,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,random,1,975063976,2026-08-05T17:04:54.991438+00:00,1,1000,10000,0.004645109176635742,0.08262085914611816,0.15497803688049316,332.7661461830139,333.015398979187,40,15,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,random,2,1281947620,2026-08-05T17:10:28.027866+00:00,1,1000,10000,0.007310152053833008,0.0907278060913086,0.1711890697479248,332.09226393699646,332.3701608181,46,9,64,25,28,True,1000,1000,0,0,,,,,False,
64,32,127,0.01,0.05,2,1.1,3,linear_combination,0,1410513521,2026-08-05T17:16:00.409837+00:00,1,1000,10000,0.004609107971191406,0.08910799026489258,0.15804314613342285,149.47028613090515,149.72893714904785,48,16,64,25,28,True,1000,1000,0,0,,,,,False,
