n,k,q,alpha,beta,rmax,weight_factor,budgets,enum_version,trial,seed,timestamp,m_pair_target,n_iter,max_trials_enum,gen_time_s,posterior_time_s,qhat_time_s,repair_time_s,total_time_s,rows_correct_full,rows_correct_support_only,n_rows_total,gv_bound,target_weight_used,uniqueness_guaranteed_gv,iters_used,enum_failures,pairs_recovered,pairs_correct,avg_active_error_dim,max_active_error_dim,frac_r_le_rmax,avg_v_weight,success,error
7,3,7,0.01,0.05,1,1.1,3,random,2,308180213,2026-07-28T22:58:58.046343+00:00,2,500,500,0.00011205673217773438,0.0001289844512939453,0.00048089027404785156,0.00026988983154296875,0.0012102127075195312,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,random,3,1273858132,2026-07-28T22:58:58.047878+00:00,2,500,500,0.00010704994201660156,0.000125885009765625,0.0004930496215820312,0.0001800060272216797,0.0011289119720458984,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,random,4,1042210212,2026-07-28T22:58:58.049404+00:00,2,500,500,0.0001499652862548828,0.00013113021850585938,0.0005598068237304688,0.0008950233459472656,0.0019881725311279297,6,1,7,4,4,False,9,0,2,2,0.75,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,linear_combination,0,1565961856,2026-07-28T22:58:58.051766+00:00,2,500,500,0.00011610984802246094,0.00012993812561035156,0.0004799365997314453,0.0019502639770507812,0.0028879642486572266,6,1,7,4,4,False,7,0,2,2,0.6666666666666666,1,1.0,3.5,True,
7,3,7,0.01,0.05,1,1.1,3,linear_combination,1,1835747059,2026-07-28T22:58:58.055091+00:00,2,500,500,0.00014591217041015625,0.00013589859008789062,0.0005650520324707031,0.0004971027374267578,0.0017049312591552734,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.0,True,
7,3,7,0.01,0.05,1,1.1,3,linear_combination,2,1543303988,2026-07-28T22:58:58.057199+00:00,2,500,500,0.00013494491577148438,0.00013399124145507812,0.0004999637603759766,0.0018160343170166016,0.0028159618377685547,6,1,7,4,4,False,8,0,2,2,0.7142857142857143,1,1.0,3.0,True,
7,3,7,0.01,0.05,1,1.1,3,linear_combination,3,462045339,2026-07-28T22:58:58.060375+00:00,2,500,500,0.00011992454528808594,0.00012683868408203125,0.0004992485046386719,0.14602923393249512,0.14701199531555176,6,1,7,4,4,False,500,0,0,0,1.0,1,1.0,,False,
7,3,7,0.01,0.05,1,1.1,3,linear_combination,4,1657065598,2026-07-28T22:58:58.208110+00:00,2,500,500,0.00020003318786621094,0.0001380443572998047,0.0005812644958496094,0.0008342266082763672,0.002074003219604492,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,local_search,0,1894856769,2026-07-28T22:58:58.210551+00:00,2,500,500,0.0001232624053955078,0.00012993812561035156,0.0005567073822021484,0.00021195411682128906,0.0012900829315185547,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,local_search,1,339247609,2026-07-28T22:58:58.212214+00:00,2,500,500,0.0001533031463623047,0.0001347064971923828,0.0005214214324951172,0.00032591819763183594,0.0014803409576416016,6,1,7,4,4,False,3,0,2,2,0.0,0,1.0,3.5,True,
7,3,7,0.01,0.05,1,1.1,3,local_search,2,415239924,2026-07-28T22:58:58.214086+00:00,2,500,500,0.0001468658447265625,0.0001342296600341797,0.0006096363067626953,0.0005052089691162109,0.0016989707946777344,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,local_search,3,555401942,2026-07-28T22:58:58.216254+00:00,2,500,500,0.00015997886657714844,0.00013494491577148438,0.0005097389221191406,0.0005712509155273438,0.0016369819641113281,6,1,7,4,4,False,4,0,2,2,0.3333333333333333,1,1.0,4.0,True,
7,3,7,0.01,0.05,1,1.1,3,local_search,4,222797854,2026-07-28T22:58:58.218254+00:00,2,500,500,0.00011897087097167969,0.0001289844512939453,0.0005280971527099609,0.0011141300201416016,0.0021359920501708984,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.5,True,
7,3,7,0.01,0.05,1,1.1,5,random,0,1519195479,2026-07-28T22:58:58.220815+00:00,2,500,500,0.000164031982421875,0.00014019012451171875,0.0005848407745361328,0.00028777122497558594,0.00144195556640625,7,0,7,4,4,False,3,0,2,2,0.0,0,1.0,3.0,True,
7,3,7,0.01,0.05,1,1.1,5,random,1,731250214,2026-07-28T22:58:58.222640+00:00,2,500,500,0.00012493133544921875,0.00013017654418945312,0.000514984130859375,0.00121307373046875,0.0022161006927490234,4,0,7,4,4,False,7,0,2,2,1.6666666666666667,2,0.3333333333333333,4.0,True,
7,3,7,0.01,0.05,1,1.1,5,random,2,345684235,2026-07-28T22:58:58.225247+00:00,2,500,500,0.00011897087097167969,0.00012922286987304688,0.0005528926849365234,0.013077020645141602,0.014137983322143555,6,1,7,4,4,False,72,0,2,2,0.971830985915493,1,1.0,4.0,True,
