n,k,q,alpha,beta,weight_factor,seed,config_source,target_weight,v_weight,t_active,rows_qhat_correct,r_v_true,mean_est_r,rmax_90,coverage_90,rmax_95,coverage_95,rmax_99,coverage_99,elapsed_posterior_s,elapsed_hungarian_s,elapsed_estimate_s,error
128,64,127,0.01,0.05,1.1,20260960,grid,54,54,54,84,19,21.595385418711388,26,1,27,1,29,1,0.30752992630004883,0.6192290782928467,0.11582398414611816,
128,64,127,0.02,0.08,1.1,20260961,grid,54,54,54,62,27,30.42426144598439,35,1,36,1,38,1,0.3030431270599365,0.6141929626464844,0.11689019203186035,
128,64,127,0.02,0.08,1.1,20260962,grid,54,54,54,73,24,32.924061392362944,37,1,38,1,40,1,0.3217000961303711,0.6119160652160645,0.10971975326538086,
128,64,127,0.02,0.08,1.1,20260963,grid,54,54,54,65,22,32.18579633816547,36,1,37,1,40,1,0.30246782302856445,0.5745730400085449,0.11117291450500488,
128,64,127,0.02,0.08,1.1,20260964,grid,54,54,54,72,24,33.30291086326128,37,1,39,1,41,1,0.29927992820739746,0.5785279273986816,0.11026215553283691,
128,64,127,0.02,0.08,1.1,20260965,grid,54,54,54,54,31,34.09602284334753,38,1,39,1,41,1,0.2886641025543213,0.5831549167633057,0.1087181568145752,
128,64,127,0.01,0.03,1.1,20260966,named,54,54,54,101,10,17.549738507180017,21,1,22,1,24,1,0.28749513626098633,0.6076459884643555,0.11101412773132324,
128,64,127,0.01,0.03,1.1,20260967,named,54,54,54,97,15,15.972760817846147,19,1,20,1,22,1,0.2853047847747803,0.6072220802307129,0.11011719703674316,
128,64,127,0.01,0.03,1.1,20260968,named,54,54,54,110,8,15.703151389167783,19,1,20,1,22,1,0.28647518157958984,0.6104059219360352,0.1093299388885498,
128,64,127,0.01,0.05,1.1,20260969,named,54,54,54,98,7,23.265599474000254,27,1,28,1,30,1,0.29990124702453613,0.6197021007537842,0.10811424255371094,
128,64,127,0.01,0.05,1.1,20260970,named,54,54,54,85,17,23.89014699968137,28,1,29,1,31,1,0.3766651153564453,0.6796209812164307,0.11028599739074707,
128,64,127,0.01,0.05,1.1,20260971,named,54,54,54,83,20,23.560219011268266,28,1,29,1,31,1,0.31897497177124023,0.6334240436553955,0.10938620567321777,
128,64,127,0.02,0.08,1.1,20260972,named,54,54,54,71,24,33.284481283163686,37,1,38,1,41,1,0.3105909824371338,0.5717487335205078,0.10929679870605469,
128,64,127,0.02,0.08,1.1,20260973,named,54,54,54,65,31,32.04014191909779,36,1,37,1,39,1,0.3062310218811035,0.5790669918060303,0.11066412925720215,
128,64,127,0.02,0.08,1.1,20260974,named,54,54,54,75,21,32.12238350501864,36,1,37,1,40,1,0.30277585983276367,0.5669140815734863,0.1109619140625,
252,126,127,0.01,0.03,1.1,20260975,named,103,103,103,194,23,42.4115709602412,47,1,49,1,51,1,1.1477041244506836,2.3876407146453857,0.4060359001159668,
252,126,127,0.01,0.03,1.1,20260976,named,103,103,103,191,19,36.888599731072084,42,1,43,1,46,1,1.1061949729919434,2.3819739818573,0.40476012229919434,
252,126,127,0.01,0.03,1.1,20260977,named,103,103,103,195,29,37.88967579194019,43,1,44,1,47,1,1.1375911235809326,2.374206781387329,0.40067005157470703,
252,126,127,0.01,0.05,1.1,20260978,named,103,103,103,149,45,52.257751419341325,58,1,59,1,62,1,1.1498639583587646,2.4286081790924072,0.4142799377441406,
252,126,127,0.01,0.05,1.1,20260979,named,103,103,103,169,32,47.86086509339551,53,1,55,1,58,1,1.144085168838501,2.2939870357513428,0.40389370918273926,
252,126,127,0.01,0.05,1.1,20260980,named,103,103,103,157,38,54.317538409763614,60,1,61,1,64,1,1.2120521068572998,2.3401761054992676,0.4062509536743164,
252,126,127,0.02,0.08,1.1,20260981,named,103,103,103,108,65,65.90280769272924,71,1,73,1,76,1,1.1572363376617432,2.381058692932129,0.4177837371826172,
252,126,127,0.02,0.08,1.1,20260982,named,103,103,103,100,56,66.32538850279974,72,1,73,1,76,1,1.1351959705352783,2.4394118785858154,0.4138648509979248,
252,126,127,0.02,0.08,1.1,20260983,named,103,103,103,110,64,65.85026529412977,71,1,73,1,76,1,1.1371209621429443,2.4126601219177246,0.43250393867492676,
548,274,127,0.01,0.03,1.1,20260984,named,222,222,222,395,67,91.72559423167154,99,1,101,1,105,1,5.665866851806641,11.795154094696045,1.9198708534240723,
548,274,127,0.01,0.03,1.1,20260985,named,222,222,222,387,62,90.87957002436188,98,1,100,1,104,1,5.489216089248657,11.696480989456177,1.89833402633667,
548,274,127,0.01,0.03,1.1,20260986,named,222,222,222,405,63,91.89168025956265,99,1,101,1,105,1,5.456459999084473,11.884981155395508,1.9029457569122314,
548,274,127,0.01,0.05,1.1,20260987,named,222,222,222,295,98,117.65724771372983,125,1,128,1,132,1,5.495697975158691,11.605473041534424,1.9779748916625977,
548,274,127,0.01,0.05,1.1,20260988,named,222,222,222,298,90,116.78453091688576,125,1,127,1,131,1,5.360209941864014,11.499993085861206,1.8886468410491943,
548,274,127,0.01,0.05,1.1,20260989,named,222,222,222,317,93,121.32208474919692,129,1,131,1,135,1,5.359652042388916,11.436264991760254,1.900120735168457,
548,274,127,0.02,0.08,1.1,20260990,named,222,222,222,217,132,156.32501608513667,164,1,166,1,170,1,5.469658136367798,11.54440188407898,1.8658537864685059,
